Department;Source_Type;Fiscal_Year;Quarter;Emissions_mtCO2e;Consumption;Consumption_Units
Airport, San Francisco International (SFO);B20;2012;Q2;336.662141029;40,485.00;B20 (gallons)
Airport, San Francisco International (SFO);B5;2012;Q2;0.00;0.00;B5 (gallons)
Airport, San Francisco International (SFO);CNG;2012;Q2;410.95909441600003;66,500.75;CNG (GGE)
Airport, San Francisco International (SFO);Diesel;2012;Q2;47.412304624999997;4,543.75;Diesel (gallons)
Airport, San Francisco International (SFO);Gasoline;2012;Q2;262.58247841000002;29,263.100001573999;Gasoline (gallons)
Airport, San Francisco International (SFO);Propane;2012;Q2;0.00;0.00;Propane (gallons)
Airport, San Francisco International (SFO);B20;2012;Q3;336.662141029;40,485.00;B20 (gallons)
Airport, San Francisco International (SFO);B5;2012;Q3;0.00;0.00;B5 (gallons)
Airport, San Francisco International (SFO);CNG;2012;Q3;410.95909441600003;66,500.75;CNG (GGE)
Airport, San Francisco International (SFO);Diesel;2012;Q3;47.412304624999997;4,543.75;Diesel (gallons)
Airport, San Francisco International (SFO);Gasoline;2012;Q3;262.10510627299999;29,209.899998784;Gasoline (gallons)
Airport, San Francisco International (SFO);Propane;2012;Q3;0.00;0.00;Propane (gallons)
Airport, San Francisco International (SFO);B20;2012;Q4;336.662141029;40,485.00;B20 (gallons)
Airport, San Francisco International (SFO);B5;2012;Q4;0.00;0.00;B5 (gallons)
Airport, San Francisco International (SFO);CNG;2012;Q4;410.999880873;66,507.349999904996;CNG (GGE)
Airport, San Francisco International (SFO);Diesel;2012;Q4;47.412304624999997;4,543.75;Diesel (gallons)
Airport, San Francisco International (SFO);Gasoline;2012;Q4;259.90399013400003;28,964.599999785001;Gasoline (gallons)
Airport, San Francisco International (SFO);Propane;2012;Q4;0.00;0.00;Propane (gallons)
Airport, San Francisco International (SFO);Electric;2012;Q1;0.00;85,525,856.00;Electric (kWh)
Airport, San Francisco International (SFO);Natural Gas;2012;Q1;3,640.1601856289999;683,766.75;Natural Gas (therms)
Airport, San Francisco International (SFO);Electric;2012;Q2;0.00;83,036,486.00;Electric (kWh)
Airport, San Francisco International (SFO);Natural Gas;2012;Q2;5,150.3784015620004;967,445.75;Natural Gas (therms)
Airport, San Francisco International (SFO);Electric;2012;Q3;0.00;79,732,588.00;Electric (kWh)
Airport, San Francisco International (SFO);Natural Gas;2012;Q3;5,658.9661955920001;1,062,978.75;Natural Gas (therms)
Airport, San Francisco International (SFO);Electric;2012;Q4;0.00;82,202,471.00;Electric (kWh)
Airport, San Francisco International (SFO);Natural Gas;2012;Q4;4,930.8881085740004;926,216.75;Natural Gas (therms)
Animal Care and Control;B20;2012;Q1;0.00;0.00;B20 (gallons)
Animal Care and Control;B5;2012;Q1;0.00;0.00;B5 (gallons)
Animal Care and Control;CNG;2012;Q1;0.00;0.00;CNG (GGE)
Animal Care and Control;Gasoline;2012;Q1;15.638423320999999;1,742.8000081780001;Gasoline (gallons)
Animal Care and Control;Propane;2012;Q1;0.00;0.00;Propane (gallons)
Animal Care and Control;B20;2012;Q2;0.00;0.00;B20 (gallons)
Animal Care and Control;B5;2012;Q2;0.00;0.00;B5 (gallons)
Animal Care and Control;CNG;2012;Q2;0.00;0.00;CNG (GGE)
Animal Care and Control;Gasoline;2012;Q2;14.318471414999999;1,595.7000002939999;Gasoline (gallons)
Animal Care and Control;Propane;2012;Q2;0.00;0.00;Propane (gallons)
Animal Care and Control;B20;2012;Q3;0.00;0.00;B20 (gallons)
Animal Care and Control;B5;2012;Q3;0.00;0.00;B5 (gallons)
Animal Care and Control;CNG;2012;Q3;0.15325820600000001;24.800000190999999;CNG (GGE)
Animal Care and Control;Gasoline;2012;Q3;15.091957799999999;1,681.899999559;Gasoline (gallons)
Animal Care and Control;Propane;2012;Q3;0.00;0.00;Propane (gallons)
Animal Care and Control;B20;2012;Q4;0.00;0.00;B20 (gallons)
Animal Care and Control;B5;2012;Q4;0.00;0.00;B5 (gallons)
Animal Care and Control;CNG;2012;Q4;0.18106715600000001;29.300000429000001;CNG (GGE)
Animal Care and Control;Gasoline;2012;Q4;17.454590862;1,945.2000033859999;Gasoline (gallons)
Animal Care and Control;Propane;2012;Q4;0.00;0.00;Propane (gallons)
Animal Care and Control;Electric;2012;Q1;0.00;123,549.00;Electric (kWh)
Animal Care and Control;Natural Gas;2012;Q1;68.254991544999996;12,821.00;Natural Gas (therms)
Animal Care and Control;Electric;2012;Q2;0.00;132,621.00;Electric (kWh)
Animal Care and Control;Natural Gas;2012;Q2;75.772037646000001;14,233.00;Natural Gas (therms)
Animal Care and Control;Electric;2012;Q3;0.00;131,277.00;Electric (kWh)
Animal Care and Control;Natural Gas;2012;Q3;116.929462155;21,964.00;Natural Gas (therms)
Animal Care and Control;Electric;2012;Q4;0.00;136,109.00;Electric (kWh)
Animal Care and Control;Natural Gas;2012;Q4;97.471386022999994;18,309.00;Natural Gas (therms)
Arts Commission;Electric;2012;Q1;0.00;26,469.000059638001;Electric (kWh)
Arts Commission;Electric;2012;Q1;0.00;88,054.00;Electric (kWh)
Arts Commission;Natural Gas;2012;Q1;0.117673747;22.103806228;Natural Gas (therms)
Arts Commission;Natural Gas;2012;Q1;3.955499471;743.00;Natural Gas (therms)
Arts Commission;Electric;2012;Q2;0.00;25,627.021108507;Electric (kWh)
Arts Commission;Electric;2012;Q2;0.00;119,485.00;Electric (kWh)
Arts Commission;Natural Gas;2012;Q2;0.18951588999999999;35.598615916999997;Natural Gas (therms)
Arts Commission;Natural Gas;2012;Q2;25.292837128999999;4,751.00;Natural Gas (therms)
Arts Commission;Electric;2012;Q3;0.00;27,092.951828393001;Electric (kWh)
Arts Commission;Electric;2012;Q3;0.00;122,172.00;Electric (kWh)
Arts Commission;Natural Gas;2012;Q3;0.60238716199999998;113.15224913500001;Natural Gas (therms)
Arts Commission;Natural Gas;2012;Q3;39.826502748999999;7,481.00;Natural Gas (therms)
Arts Commission;Electric;2012;Q4;0.00;24,371.726144413999;Electric (kWh)
Arts Commission;Electric;2012;Q4;0.00;112,107.00;Electric (kWh)
Arts Commission;Natural Gas;2012;Q4;0.62511875299999997;117.422145329;Natural Gas (therms)
Arts Commission;Natural Gas;2012;Q4;11.057297983;2,077.00;Natural Gas (therms)
Asian Art Museum;B20;2012;Q1;0.00;0.00;B20 (gallons)
Asian Art Museum;B5;2012;Q1;0.00;0.00;B5 (gallons)
Asian Art Museum;CNG;2012;Q1;0.00;0.00;CNG (GGE)
Asian Art Museum;Gasoline;2012;Q1;0.00;0.00;Gasoline (gallons)
Asian Art Museum;Propane;2012;Q1;0.00;0.00;Propane (gallons)
Asian Art Museum;B20;2012;Q2;0.00;0.00;B20 (gallons)
Asian Art Museum;B5;2012;Q2;0.00;0.00;B5 (gallons)
Asian Art Museum;CNG;2012;Q2;0.00;0.00;CNG (GGE)
Asian Art Museum;Gasoline;2012;Q2;0.00;0.00;Gasoline (gallons)
Asian Art Museum;Propane;2012;Q2;0.00;0.00;Propane (gallons)
Asian Art Museum;B20;2012;Q3;0.00;0.00;B20 (gallons)
Asian Art Museum;B5;2012;Q3;0.00;0.00;B5 (gallons)
Asian Art Museum;CNG;2012;Q3;0.00;0.00;CNG (GGE)
Asian Art Museum;Gasoline;2012;Q3;0.00;0.00;Gasoline (gallons)
Asian Art Museum;Propane;2012;Q3;0.00;0.00;Propane (gallons)
Asian Art Museum;B20;2012;Q4;0.00;0.00;B20 (gallons)
Asian Art Museum;B5;2012;Q4;0.00;0.00;B5 (gallons)
Asian Art Museum;CNG;2012;Q4;0.00;0.00;CNG (GGE)
Asian Art Museum;Gasoline;2012;Q4;0.00;0.00;Gasoline (gallons)
Asian Art Museum;Propane;2012;Q4;0.00;0.00;Propane (gallons)
Asian Art Museum;Electric;2012;Q1;0.00;1,687,859.00;Electric (kWh)
Asian Art Museum;Natural Gas;2012;Q1;210.983041098;39,631.00;Natural Gas (therms)
Asian Art Museum;Electric;2012;Q2;0.00;1,649,371.00;Electric (kWh)
Asian Art Museum;Natural Gas;2012;Q2;214.85868526300001;40,359.00;Natural Gas (therms)
Asian Art Museum;Electric;2012;Q3;0.00;1,594,522.00;Electric (kWh)
Asian Art Museum;Natural Gas;2012;Q3;190.84353302400001;35,848.00;Natural Gas (therms)
Asian Art Museum;Electric;2012;Q4;0.00;1,550,000.00;Electric (kWh)
Asian Art Museum;Natural Gas;2012;Q4;178.737468694;33,574.00;Natural Gas (therms)
Assessor-Recorder;Electric;2012;Q1;0.00;180,780.698788462;Electric (kWh)
Assessor-Recorder;Steam;2012;Q1;44.371313432999997;491,567.26141197298;Steam (lbs)
Assessor-Recorder;Electric;2012;Q2;0.00;175,893.049039909;Electric (kWh)
Assessor-Recorder;Steam;2012;Q2;57.283600411000002;634,615.93536783801;Steam (lbs)
Assessor-Recorder;Electric;2012;Q3;0.00;168,084.128313419;Electric (kWh)
Assessor-Recorder;Steam;2012;Q3;106.103992766;1,237,666.58482971;Steam (lbs)
Assessor-Recorder;Electric;2012;Q4;0.00;172,656.112309063;Electric (kWh)
Assessor-Recorder;Steam;2012;Q4;47.523318566999997;554,343.16709012596;Steam (lbs)
Board of Supervisors;Electric;2012;Q1;0.00;155,168.161488315;Electric (kWh)
Board of Supervisors;Steam;2012;Q1;43.433543739000001;481,178.18692161998;Steam (lbs)
Board of Supervisors;Electric;2012;Q2;0.00;151,546.595504739;Electric (kWh)
Board of Supervisors;Steam;2012;Q2;56.072934773999997;621,203.58523214399;Steam (lbs)
Board of Supervisors;Electric;2012;Q3;0.00;147,536.198663043;Electric (kWh)
Board of Supervisors;Steam;2012;Q3;103.861527958;1,211,509.00406023;Steam (lbs)
Board of Supervisors;Electric;2012;Q4;0.00;151,990.510734424;Electric (kWh)
Board of Supervisors;Steam;2012;Q4;46.518932524;542,627.34932070097;Steam (lbs)
Building Inspection;B20;2012;Q1;0.00;0.00;B20 (gallons)
Building Inspection;B5;2012;Q1;0.00;0.00;B5 (gallons)
Building Inspection;CNG;2012;Q1;11.79717391;1,909.000004068;CNG (GGE)
Building Inspection;Gasoline;2012;Q1;22.317146247;2,487.1000011709998;Gasoline (gallons)
Building Inspection;Propane;2012;Q1;0.00;0.00;Propane (gallons)
Building Inspection;B20;2012;Q2;0.00;0.00;B20 (gallons)
Building Inspection;B5;2012;Q2;0.00;0.00;B5 (gallons)
Building Inspection;CNG;2012;Q2;12.31040348;1,992.050000429;CNG (GGE)
Building Inspection;Gasoline;2012;Q2;21.744658680000001;2,423.3000057939998;Gasoline (gallons)
Building Inspection;Propane;2012;Q2;0.00;0.00;Propane (gallons)
Building Inspection;B20;2012;Q3;0.00;0.00;B20 (gallons)
Building Inspection;B5;2012;Q3;0.00;0.00;B5 (gallons)
Building Inspection;CNG;2012;Q3;12.78167243;2,068.3099957479999;CNG (GGE)
Building Inspection;Gasoline;2012;Q3;24.839501533;2,768.20000235;Gasoline (gallons)
Building Inspection;Propane;2012;Q3;0.00;0.00;Propane (gallons)
Building Inspection;B20;2012;Q4;0.00;0.00;B20 (gallons)
Building Inspection;B5;2012;Q4;0.00;0.00;B5 (gallons)
Building Inspection;CNG;2012;Q4;13.150542679999999;2,127.9999956860001;CNG (GGE)
Building Inspection;Gasoline;2012;Q4;25.054857380000001;2,792.2000031470002;Gasoline (gallons)
Building Inspection;Propane;2012;Q4;0.00;0.00;Propane (gallons)
Building Inspection;Electric;2012;Q1;0.00;381,332.844299344;Electric (kWh)
Building Inspection;Natural Gas;2012;Q1;39.269074035999999;7,376.2927344099999;Natural Gas (therms)
Building Inspection;Electric;2012;Q2;0.00;358,180.29711987998;Electric (kWh)
Building Inspection;Natural Gas;2012;Q2;25.506680782;4,791.168336529;Natural Gas (therms)
Building Inspection;Electric;2012;Q3;0.00;361,572.47923682298;Electric (kWh)
Building Inspection;Natural Gas;2012;Q3;60.703103243000001;11,402.455249905999;Natural Gas (therms)
Building Inspection;Electric;2012;Q4;0.00;345,017.34337074502;Electric (kWh)
Building Inspection;Natural Gas;2012;Q4;53.179419977000002;9,989.2085266459999;Natural Gas (therms)
California Academy of Sciences;Electric;2012;Q1;0.00;3,364,507.00;Electric (kWh)
California Academy of Sciences;Natural Gas;2012;Q1;288.47995334500001;54,188.00;Natural Gas (therms)
California Academy of Sciences;Electric;2012;Q2;0.00;3,266,921.00;Electric (kWh)
California Academy of Sciences;Natural Gas;2012;Q2;316.58902091800002;59,468.00;Natural Gas (therms)
California Academy of Sciences;Electric;2012;Q3;0.00;3,122,712.00;Electric (kWh)
California Academy of Sciences;Natural Gas;2012;Q3;334.11459865500001;62,760.00;Natural Gas (therms)
California Academy of Sciences;Electric;2012;Q4;0.00;3,179,065.00;Electric (kWh)
California Academy of Sciences;Natural Gas;2012;Q4;282.458863302;53,057.00;Natural Gas (therms)
Central Shops;B20;2012;Q1;0.00;0.00;B20 (gallons)
Central Shops;B5;2012;Q1;0.12912301500000001;13.100000380999999;B5 (gallons)
Central Shops;CNG;2012;Q1;1.86134562;301.20000124000001;CNG (GGE)
Central Shops;Gasoline;2012;Q1;13.038001434;1,452.9999948740001;Gasoline (gallons)
Central Shops;Propane;2012;Q1;0.050274224999999999;8.8000001910000005;Propane (gallons)
Central Shops;B20;2012;Q2;0.00;0.00;B20 (gallons)
Central Shops;B5;2012;Q2;0.036469859;3.7000000480000002;B5 (gallons)
Central Shops;CNG;2012;Q2;1.8329187039999999;296.60000264600001;CNG (GGE)
Central Shops;Gasoline;2012;Q2;11.991731039999999;1,336.4000017789999;Gasoline (gallons)
Central Shops;Propane;2012;Q2;0.39076783500000001;68.400000571999996;Propane (gallons)
Central Shops;B20;2012;Q3;0.00;0.00;B20 (gallons)
Central Shops;B5;2012;Q3;0.86541985799999999;87.799998282999994;B5 (gallons)
Central Shops;CNG;2012;Q3;1.443593406;233.59999942799999;CNG (GGE)
Central Shops;Gasoline;2012;Q3;12.045569963;1,342.399997622;Gasoline (gallons)
Central Shops;Propane;2012;Q3;0.052559414999999998;9.1999998089999995;Propane (gallons)
Central Shops;B20;2012;Q4;0.00;0.00;B20 (gallons)
Central Shops;B5;2012;Q4;0.77572372599999995;78.699998855999993;B5 (gallons)
Central Shops;CNG;2012;Q4;1.1852791730000001;191.79999923700001;CNG (GGE)
Central Shops;Gasoline;2012;Q4;10.728310099;1,195.600000381;Gasoline (gallons)
Central Shops;Propane;2012;Q4;0.24908593000000001;43.600000381000001;Propane (gallons)
Central Shops;Electric;2012;Q1;0.00;165,862.00;Electric (kWh)
Central Shops;Natural Gas;2012;Q1;19.532607751;3,669.00;Natural Gas (therms)
Central Shops;Electric;2012;Q2;0.00;163,882.00;Electric (kWh)
Central Shops;Natural Gas;2012;Q2;25.734703153000002;4,834.00;Natural Gas (therms)
Central Shops;Electric;2012;Q3;0.00;171,179.00;Electric (kWh)
Central Shops;Natural Gas;2012;Q3;78.359349547999997;14,719.00;Natural Gas (therms)
Central Shops;Electric;2012;Q4;0.00;164,278.00;Electric (kWh)
Central Shops;Natural Gas;2012;Q4;51.538614238000001;9,681.00;Natural Gas (therms)
Chief Medical Examiner, Office of the;B20;2012;Q1;0.00;0.00;B20 (gallons)
Chief Medical Examiner, Office of the;B5;2012;Q1;0.00;0.00;B5 (gallons)
Chief Medical Examiner, Office of the;CNG;2012;Q1;0.00;0.00;CNG (GGE)
Chief Medical Examiner, Office of the;Gasoline;2012;Q1;4.3474960109999996;484.49999904600003;Gasoline (gallons)
Chief Medical Examiner, Office of the;Propane;2012;Q1;0.00;0.00;Propane (gallons)
Chief Medical Examiner, Office of the;B20;2012;Q2;0.00;0.00;B20 (gallons)
Chief Medical Examiner, Office of the;B5;2012;Q2;0.00;0.00;B5 (gallons)
Chief Medical Examiner, Office of the;CNG;2012;Q2;0.00;0.00;CNG (GGE)
Chief Medical Examiner, Office of the;Gasoline;2012;Q2;4.0011320450000003;445.900000095;Gasoline (gallons)
Chief Medical Examiner, Office of the;Propane;2012;Q2;0.00;0.00;Propane (gallons)
Chief Medical Examiner, Office of the;B20;2012;Q3;0.00;0.00;B20 (gallons)
Chief Medical Examiner, Office of the;B5;2012;Q3;0.00;0.00;B5 (gallons)
Chief Medical Examiner, Office of the;CNG;2012;Q3;0.00;0.00;CNG (GGE)
Chief Medical Examiner, Office of the;Gasoline;2012;Q3;4.4336383560000003;494.100000024;Gasoline (gallons)
Chief Medical Examiner, Office of the;Propane;2012;Q3;0.00;0.00;Propane (gallons)
Chief Medical Examiner, Office of the;B20;2012;Q4;0.00;0.00;B20 (gallons)
Chief Medical Examiner, Office of the;B5;2012;Q4;0.00;0.00;B5 (gallons)
Chief Medical Examiner, Office of the;CNG;2012;Q4;0.00;0.00;CNG (GGE)
Chief Medical Examiner, Office of the;Gasoline;2012;Q4;4.7602614040000004;530.500002623;Gasoline (gallons)
Chief Medical Examiner, Office of the;Propane;2012;Q4;0.00;0.00;Propane (gallons)
Chief Medical Examiner, Office of the;Electric;2012;Q1;0.00;89,912.971715118998;Electric (kWh)
Chief Medical Examiner, Office of the;Natural Gas;2012;Q1;24.289553006999999;4,562.5433694100002;Natural Gas (therms)
Chief Medical Examiner, Office of the;Electric;2012;Q2;0.00;85,955.582440080994;Electric (kWh)
Chief Medical Examiner, Office of the;Natural Gas;2012;Q2;29.349545376999998;5,513.0110305839999;Natural Gas (therms)
Chief Medical Examiner, Office of the;Electric;2012;Q3;0.00;80,309.043113488005;Electric (kWh)
Chief Medical Examiner, Office of the;Natural Gas;2012;Q3;32.456113766999998;6,096.5480353390003;Natural Gas (therms)
Chief Medical Examiner, Office of the;Electric;2012;Q4;0.00;84,653.362740807002;Electric (kWh)
Chief Medical Examiner, Office of the;Natural Gas;2012;Q4;26.963775036000001;5,064.8685454019997;Natural Gas (therms)
Child Support Services;B20;2012;Q1;0.00;0.00;B20 (gallons)
Child Support Services;B5;2012;Q1;0.00;0.00;B5 (gallons)
Child Support Services;CNG;2012;Q1;0.00;0.00;CNG (GGE)
Child Support Services;Gasoline;2012;Q1;1.4168619629999999;157.89999985700001;Gasoline (gallons)
Child Support Services;Propane;2012;Q1;0.00;0.00;Propane (gallons)
Child Support Services;B20;2012;Q2;0.00;0.00;B20 (gallons)
Child Support Services;B5;2012;Q2;0.00;0.00;B5 (gallons)
Child Support Services;CNG;2012;Q2;0.00;0.00;CNG (GGE)
Child Support Services;Gasoline;2012;Q2;0.86142335599999997;95.999999523;Gasoline (gallons)
Child Support Services;Propane;2012;Q2;0.00;0.00;Propane (gallons)
Child Support Services;B20;2012;Q3;0.00;0.00;B20 (gallons)
Child Support Services;B5;2012;Q3;0.00;0.00;B5 (gallons)
Child Support Services;CNG;2012;Q3;0.00;0.00;CNG (GGE)
Child Support Services;Gasoline;2012;Q3;1.0489624019999999;116.89999973800001;Gasoline (gallons)
Child Support Services;Propane;2012;Q3;0.00;0.00;Propane (gallons)
Child Support Services;B20;2012;Q4;0.00;0.00;B20 (gallons)
Child Support Services;B5;2012;Q4;0.00;0.00;B5 (gallons)
Child Support Services;CNG;2012;Q4;0.00;0.00;CNG (GGE)
Child Support Services;Gasoline;2012;Q4;0.78963807799999997;87.999999762000002;Gasoline (gallons)
Child Support Services;Propane;2012;Q4;0.00;0.00;Propane (gallons)
Child Support Services;Electric;2012;Q1;0.00;165,751.00;Electric (kWh)
Child Support Services;Electric;2012;Q2;0.00;142,509.00;Electric (kWh)
Child Support Services;Electric;2012;Q3;0.00;139,410.00;Electric (kWh)
Child Support Services;Electric;2012;Q4;0.00;155,028.00;Electric (kWh)
City Attorney;B20;2012;Q1;0.00;0.00;B20 (gallons)
City Attorney;B5;2012;Q1;0.00;0.00;B5 (gallons)
City Attorney;CNG;2012;Q1;6.0580248970000001;980.29999733;CNG (GGE)
City Attorney;Gasoline;2012;Q1;3.195342294;356.10000205;Gasoline (gallons)
City Attorney;Propane;2012;Q1;0.00;0.00;Propane (gallons)
City Attorney;B20;2012;Q2;0.00;0.00;B20 (gallons)
City Attorney;B5;2012;Q2;0.00;0.00;B5 (gallons)
City Attorney;CNG;2012;Q2;5.8170140239999997;941.29999941599999;CNG (GGE)
City Attorney;Gasoline;2012;Q2;3.713093625;413.80000186000001;Gasoline (gallons)
City Attorney;Propane;2012;Q2;0.00;0.00;Propane (gallons)
City Attorney;B20;2012;Q3;0.00;0.00;B20 (gallons)
City Attorney;B5;2012;Q3;0.00;0.00;B5 (gallons)
City Attorney;CNG;2012;Q3;5.5036998830000003;890.60000127599994;CNG (GGE)
City Attorney;Gasoline;2012;Q3;3.6072103420000001;402.00000250300002;Gasoline (gallons)
City Attorney;Propane;2012;Q3;0.00;0.00;Propane (gallons)
City Attorney;B20;2012;Q4;0.00;0.00;B20 (gallons)
City Attorney;B5;2012;Q4;0.00;0.00;B5 (gallons)
City Attorney;CNG;2012;Q4;5.2002733509999999;841.50000031299999;CNG (GGE)
City Attorney;Gasoline;2012;Q4;2.9521696340000001;328.999999285;Gasoline (gallons)
City Attorney;Propane;2012;Q4;0.00;0.00;Propane (gallons)
City Attorney;Electric;2012;Q1;0.00;258,540.61994384401;Electric (kWh)
City Attorney;Steam;2012;Q1;46.115236023000001;510,887.29467473499;Steam (lbs)
City Attorney;Electric;2012;Q2;0.00;262,440.44969688699;Electric (kWh)
City Attorney;Steam;2012;Q2;59.535013700999997;659,558.20053246198;Steam (lbs)
City Attorney;Electric;2012;Q3;0.00;260,361.44123201101;Electric (kWh)
City Attorney;Steam;2012;Q3;110.27419048;1,286,310.50696243;Steam (lbs)
City Attorney;Electric;2012;Q4;0.00;263,374.77332901099;Electric (kWh)
City Attorney;Steam;2012;Q4;49.391124191000003;576,130.47732800199;Steam (lbs)
Civil Service Commission;Electric;2012;Q1;0.00;9,426.4060752540008;Electric (kWh)
Civil Service Commission;Natural Gas;2012;Q1;0.00020706699999999999;0.038895435999999999;Natural Gas (therms)
Civil Service Commission;Electric;2012;Q2;0.00;9,294.7644732000008;Electric (kWh)
Civil Service Commission;Natural Gas;2012;Q2;0.027125794000000002;5.0953020740000001;Natural Gas (therms)
Civil Service Commission;Electric;2012;Q3;0.00;9,474.5975200590001;Electric (kWh)
Civil Service Commission;Natural Gas;2012;Q3;0.18780988400000001;35.278160159999999;Natural Gas (therms)
Civil Service Commission;Electric;2012;Q4;0.00;8,430.7412650400001;Electric (kWh)
Civil Service Commission;Natural Gas;2012;Q4;0.19433249899999999;36.503366384000003;Natural Gas (therms)
Community College District;CNG;2012;Q1;0.50735881000000005;82.099999428000004;CNG (GGE)
Community College District;Gasoline;2012;Q1;31.878048246999999;3,552.6000034210001;Gasoline (gallons)
Community College District;Propane;2012;Q1;0.082266914999999996;14.400000572;Propane (gallons)
Community College District;CNG;2012;Q2;0.28117936399999999;45.499999523;CNG (GGE)
Community College District;Gasoline;2012;Q2;30.869465037000001;3,440.200000584;Gasoline (gallons)
Community College District;Propane;2012;Q2;0.00;0.00;Propane (gallons)
Community College District;CNG;2012;Q3;0.31269617199999999;50.599999427999997;CNG (GGE)
Community College District;Gasoline;2012;Q3;30.294285426999998;3,376.0999944959999;Gasoline (gallons)
Community College District;Propane;2012;Q3;0.00;0.00;Propane (gallons)
Community College District;CNG;2012;Q4;0.198370501;32.100000381000001;CNG (GGE)
Community College District;Gasoline;2012;Q4;31.589112445000001;3,520.3999978679999;Gasoline (gallons)
Community College District;Propane;2012;Q4;0.076553930000000006;13.399999619000001;Propane (gallons)
Community College District;Electric;2012;Q1;0.00;4,578,653.00;Electric (kWh)
Community College District;Natural Gas;2012;Q1;872.03058459099998;163,802.00;Natural Gas (therms)
Community College District;Electric;2012;Q2;0.00;4,802,772.00;Electric (kWh)
Community College District;Natural Gas;2012;Q2;1,112.352464969;208,944.00;Natural Gas (therms)
Community College District;Electric;2012;Q3;0.00;4,673,098.00;Electric (kWh)
Community College District;Natural Gas;2012;Q3;1,494.2311837499999;280,676.00;Natural Gas (therms)
Community College District;Electric;2012;Q4;0.00;4,482,197.00;Electric (kWh)
Community College District;Natural Gas;2012;Q4;1,242.6071157859999;233,411.00;Natural Gas (therms)
Contract Administration/Purchasing, Office of;B20;2012;Q1;0.00;0.00;B20 (gallons)
